Modelo,Marca,Preço
,,
Smartphone Nokia G21 4G 128GB Tela HD+ 6.5 Pol. Dual Chip 4GB RAM Pronto para Android 12 Câm Tripla 50MP+Selfie 8MP - NK083,Nokia,"R$ 1.170,7"
Celular de Idoso Nokia 110 Dual SIM Com Rádio MP3 e Lanterna,Nokia,"R$ 189,00"
Smartphone Nokia G21 4G 128GB Tela HD+ 6.5 Pol. Dual Chip 4GB RAM Pronto para Android 12 Câm Tripla 50MP+Selfie 8MP - NK083,Nokia,"R$ 799,00"
Smartphone Nokia C01 Plus 32GB Azul 4G Octa-Core,Nokia,"R$ 629,90 "
Nokia 106 Lanterninha 2 Chips Preto,Nokia,"R$ 194,95"
"Smartphone Nokia C20 32GB Dourado 4G Octa-Core 2GB RAM Tela 6,5” Câm. 5MP + Câm. Selfie 5MP",Nokia,"R$ 629,10"
Telefone Celular Do Idoso Vovó Vovô Simples Nokia 105 2 Chips Entrada Fone Ouvido Rádio Fm Lanterna,Nokia,"R$ 217,89 "
Smartphone C20 Android 11 com 32GB 4G Nokia,Nokia,"R$ 556,14"
Celular Nokia 6300 4g 4 Gb Charcoal 512 Mb Ram,Nokia,"R$ 250,00"
Smartphone Nokia G21 4G 128GB Tela HD+ 6.5 Pol. Dual Chip 4GB RAM Pronto para Android 12 Câm Tripla 50MP+Selfie 8MP - NK083,Nokia,"R$ 1.258,9"
"Smartphone Samsung Galaxy A54 256GB Verde Lima 5G Octa-Core 8GB RAM 6,4 Câm. Tripla + Selfie 32MP Dual Chip",Samsung,"R$ 2.199,0"
"Smartphone Samsung Galaxy S23+ 256GB Preto 5G 8GB RAM 6,6” Câm. Tripla + Selfie 12MP",Samsung,"R$ 5.199,0"
"Smartphone Samsung Galaxy A24, 128GB, 4GB RAM, Tela Infinita de 6.5 Dual Chip",Samsung,"R$ 1.104,1"
"Smartphone Samsung Galaxy M14 5G, 128GB, 4GB RAM, Tela Infinita de 6.6 Dual Chip",Samsung,"R$ 1.104,1"
"Smartphone Samsung Galaxy M14 5G, 128GB, 4GB RAM, Tela Infinita de 6.6 Dual Chip",Samsung,"R$ 1.104,1"
"Smartphone Samsung Galaxy M13 128GB Azul 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 8MP",Samsung,"R$ 1.049,0"
Smartphone Samsung Galaxy S20 FE 5G 128GB Azul,Samsung,"R$ 1.799,1"
"Smartphone Samsung Galaxy A04s 64GB Branco 4G - Octa-Core 4GB RAM 6,5” Câm. Tripla + Selfie 5MP",Samsung,"R$ 746,10"
"Smartphone Samsung Galaxy A14 128GB Verde Lima 4G Octa-Core 4GB RAM 6,6 Câm. Tripla + Selfie 13MP Dual Chip",Samsung,"R$ 999,90"
"Smartphone Samsung Galaxy A14 128GB Prata 4G Octa-Core 4GB RAM 6,6 Câm. Tripla + Selfie 13MP Dual Chip",Samsung,"R$ 999,90"
"Smartphone Motorola Edge 30 Pro 256GB Azul - 5G 12GB RAM 6,7” Câm Tripla + Selfie 60MP",Motorola,"R$ 4.949,1"
"Smartphone Motorola Edge 30 Ultra 256GB Branco 5G 12GB RAM 6,7” Câm. Tripla + Selfie 60MP",Motorola,"R$ 4.499,1"
"Smartphone Motorola Moto E22 32GB Grafite 4G 2GB RAM 6,5” Câm. Dupla + Selfie 5MP Dual Chip",Motorola,"R$ 799,20"
"Smartphone Motorola Moto E22 32GB Branco 4G 2GB RAM 6,5” Câm. Dupla + Selfie 5MP Dual Chip",Motorola,"R$ 799,20"
Smartphone Motorola Moto G22 128GB 4GB RAM Câmera Quádrupla + Selfie 16MP Tela 6.5 Azul,Motorola,"R$ 944,90"
Smartphone Motorola Moto G22 128GB Preto 4G,Motorola,"R$ 1.259,1"
