Modelo,Marca,Preço
,,
Smartphone Nokia G21 4G 128GB Tela HD+ 6.5 Pol. Dual Chip 4GB RAM Pronto para Android 12 Câm Tripla 50MP+Selfie 8MP - NK083,Nokia,"R$ 1.170,7"
Celular Nokia 110 Dual Chip 32MB 2G Desbloqueado,Nokia,"R$ 143,09"
"Smartphone Nokia C01 Plus 32GB Roxo 4G Octa-Core 1GB RAM Tela 5,45” Câm. 5MP + Câm. Selfie 5MP",Nokia,"R$ 494,10"
Celular Nokia 105 Rádio Fm Preto - Nk093,Nokia,"R$ 124,62"
Celular Telefone Idosos Nokia 105 Com Sinal 4G Rádio FM Mp3 Jogos Lanterna,Nokia,"R$ 399,90 "
Celular Nokia 6300 4g 4 Gb Charcoal 512 Mb Ram,Nokia,"R$ 250,00"
"Smartphone Nokia C20 32GB Dourado 4G Octa-Core 2GB RAM Tela 6,5” Câm. 5MP + Câm. Selfie 5MP",Nokia,"R$ 629,10"
Smartphone Nokia G21 4G 128GB Tela HD+ 6.5 Pol. Dual Chip 4GB RAM Pronto para Android 12 Câm Tripla 50MP+Selfie 8MP - NK083,Nokia,"R$ 1.170,7"
Celular Para Idoso Simples Ligação Nokia Preto Dual Chip,Nokia,"R$ 169,92"
"Smartphone Nokia C20 32GB Azul 4G Octa-Core 2GB RAM Tela 6,5” Câm. 5MP + Câm. Selfie 5MP",Nokia,"R$ 629,10"
Smartphone Samsung Galaxy S22+256GB Branco 5GB 8GB,Samsung,"R$ 5.399,1"
"Smartphone Samsung Galaxy S23 256GB Violeta 5G 8GB RAM 6,1” Câm Tripla + Selfie 12MP",Samsung,"R$ 4.699,0"
"Smartphone Samsung Galaxy A04e 64GB Azul 4G Octa-Core 3GB RAM 6,5” Câm. Dupla + Selfie 5MP",Samsung,"R$ 787,78"
"Smartphone Samsung Galaxy A04s 64GB Branco 4G - Octa-Core 4GB RAM 6,5” Câm. Tripla + Selfie 5MP",Samsung,"R$ 769,00"
"Smartphone Samsung Galaxy A04e 64GB Preto 4G Octa-Core 3GB RAM 6,5” Câm. Dupla + Selfie 5MP",Samsung,"R$ 787,78"
"Smartphone Samsung Galaxy A04s 64GB Verde 4G - Octa-Core 4GB RAM 6,5” Câm. Tripla + Selfie 5MP",Samsung,"R$ 769,00"
"Smartphone Samsung Galaxy A14 128GB Prata 4G Octa-Core 4GB RAM 6,6 Câm. Tripla + Selfie 13MP Dual Chip",Samsung,"R$ 944,10"
"Smartphone Samsung Galaxy A14 128GB Preto 4G Octa-Core 4GB RAM 6,6 Câm. Tripla + Selfie 13MP Dual Chip",Samsung,"R$ 944,10"
"Smartphone Samsung Galaxy A14 128GB Verde Lima 4G Octa-Core 4GB RAM 6,6 Câm. Tripla + Selfie 13MP Dual Chip",Samsung,"R$ 944,10"
"Smartphone Samsung Galaxy A04e 64GB Cobre 4G Octa-Core 3GB RAM 6,5” Câm. Dupla + Selfie 5MP",Samsung,"R$ 787,78"
Smartphone Moto G32 128GB Motorola,Motorola,"R$ 917,10"
"Smartphone Motorola Moto E22 32GB Grafite 4G 2GB RAM 6,5” Câm. Dupla + Selfie 5MP Dual Chip",Motorola,"R$ 755,10"
"Smartphone Motorola Moto E22 32GB Branco 4G 2GB RAM 6,5” Câm. Dupla + Selfie 5MP Dual Chip",Motorola,"R$ 755,10"
"Smartphone Motorola Moto G32 128GB 4GB RAM 6,5- Rose",Motorola,"R$ 998,10"
"Smartphone Motorola Moto G32 128GB Rosé 4G Octa-Core 4GB RAM 6,5” Câm. Tripla + Selfie 16MP",Motorola,"R$ 1.169,1"
"Smartphone Moto G52, 128GB, 4GB RAM, Octa Core, Câmera Tripla 50MP, Tela de 6.6, Preto - PAU60018BR - Motorola",Motorola,"R$ 1.119,9"
